Fecha,Estado,Sector, Crédito Real , Exportación Real 
01/01/2007,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $334.68 ," $15,331.16 "
01/04/2007,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $368.48 ," $13,904.00 "
01/07/2007,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $374.93 ," $16,485.44 "
01/10/2007,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $442.58 ," $15,745.29 "
01/10/2008,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $390.60 ," $15,375.90 "
01/01/2009,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $349.02 ," $12,503.90 "
01/04/2009,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $344.16 ," $13,610.68 "
01/07/2009,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $283.11 ," $16,112.91 "
01/10/2009,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $338.58 ," $17,655.98 "
01/01/2010,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $370.33 ," $18,527.12 "
01/04/2010,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $382.88 ," $18,731.38 "
01/07/2010,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $305.90 ," $19,631.13 "
01/10/2010,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $359.09 ," $20,665.93 "
01/01/2011,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $334.17 ," $17,635.37 "
01/04/2011,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $363.55 ," $18,545.38 "
01/07/2011,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $418.72 ," $17,346.91 "
01/10/2011,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $406.68 ," $23,251.52 "
01/01/2012,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $397.36 ," $19,688.75 "
01/04/2012,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $612.22 ," $19,460.56 "
01/07/2012,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $630.54 ," $20,209.36 "
01/10/2012,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $769.60 ," $21,086.72 "
01/01/2013,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $601.25 ," $20,128.32 "
01/04/2013,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $592.32 ," $18,671.80 "
01/07/2013,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $565.34 ," $21,409.05 "
01/10/2013,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $663.50 ," $22,276.30 "
01/01/2014,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $606.19 ," $25,034.73 "
01/04/2014,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $651.90 ," $25,206.65 "
01/07/2014,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $529.91 ," $27,368.76 "
01/10/2014,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $541.56 ," $26,495.13 "
01/01/2015,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $520.49 ," $27,934.82 "
01/04/2015,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $458.52 ," $28,980.27 "
01/07/2015,Aguascalientes ," I. Sector agropecuario, silvícola y pesquero", $504.24 ," $31,082.24 "
